period,state,stateDescription,direct-use,direct-use-units
2021,NH,New Hampshire,100647,megawatthours
2021,NE,Nebraska,441484,megawatthours
2021,ND,North Dakota,177450,megawatthours
2021,NC,North Carolina,1994345,megawatthours
2021,MT,Montana,28838,megawatthours
2021,MS,Mississippi,1812368,megawatthours
2021,MO,Missouri,289639,megawatthours
2021,MN,Minnesota,1399578,megawatthours
2021,MI,Michigan,2380982,megawatthours
2021,ME,Maine,1790229,megawatthours
2021,MD,Maryland,154960,megawatthours
2021,MA,Massachusetts,724915,megawatthours
2021,LA,Louisiana,19636978,megawatthours
2021,PA,Pennsylvania,5737298,megawatthours
2021,OR,Oregon,473142,megawatthours
2021,OK,Oklahoma,861697,megawatthours
2021,OH,Ohio,1119571,megawatthours
2021,NY,New York,2133416,megawatthours
2021,NV,Nevada,109835,megawatthours
2021,NM,New Mexico,211769,megawatthours
2021,NJ,New Jersey,1063586,megawatthours
2021,WV,West Virginia,779285,megawatthours
2021,VT,Vermont,7460,megawatthours
2020,IA,Iowa,2145887,megawatthours
2020,ID,Idaho,650778,megawatthours
2020,GA,Georgia,5157107,megawatthours
2020,FL,Florida,4812909,megawatthours
2020,DE,Delaware,719476,megawatthours
2020,DC,District of Columbia,145698,megawatthours
2020,CT,Connecticut,862269,megawatthours
2020,CO,Colorado,83313,megawatthours
2020,CA,California,12558137,megawatthours
2020,AZ,Arizona,220728,megawatthours
2020,AR,Arkansas,863245,megawatthours
2020,LA,Louisiana,20737854,megawatthours
2020,KY,Kentucky,283494,megawatthours
2020,KS,Kansas,207995,megawatthours
2020,IN,Indiana,7344405,megawatthours
2020,AL,Alabama,5110676,megawatthours
2020,AK,Alaska,265880,megawatthours
2020,NH,New Hampshire,91163,megawatthours
2020,NE,Nebraska,333713,megawatthours
2020,ND,North Dakota,165889,megawatthours
2020,NC,North Carolina,2038637,megawatthours
2020,MT,Montana,28108,megawatthours
2020,MS,Mississippi,1890489,megawatthours
2020,MO,Missouri,267786,megawatthours
2020,MN,Minnesota,1337630,megawatthours
2020,MI,Michigan,2142041,megawatthours
2020,ME,Maine,1935115,megawatthours
2020,MD,Maryland,885261,megawatthours
2020,MA,Massachusetts,662356,megawatthours
2020,RI,Rhode Island,209258,megawatthours
2020,PA,Pennsylvania,5141430,megawatthours
2020,OR,Oregon,492135,megawatthours
2020,OK,Oklahoma,924513,megawatthours
2020,OH,Ohio,1181568,megawatthours
2020,NY,New York,1992706,megawatthours
2020,NV,Nevada,106792,megawatthours
2020,NM,New Mexico,162685,megawatthours
2020,NJ,New Jersey,1421560,megawatthours
2020,WY,Wyoming,1504219,megawatthours
2020,WV,West Virginia,760925,megawatthours
2020,WI,Wisconsin,1764109,megawatthours
2020,WA,Washington,841296,megawatthours
2020,VT,Vermont,7921,megawatthours
2020,VA,Virginia,2748969,megawatthours
2020,UT,Utah,640916,megawatthours
2020,US,United States,138702540,megawatthours
2020,TX,Texas,35665123,megawatthours
2020,TN,Tennessee,2621141,megawatthours
2020,SD,South Dakota,29793,megawatthours
2020,SC,South Carolina,2161982,megawatthours
2020,IL,Illinois,4033358,megawatthours
2020,HI,Hawaii,342102,megawatthours
2019,AK,Alaska,243980,megawatthours
2019,NH,New Hampshire,94461,megawatthours
2019,NE,Nebraska,458187,megawatthours
2019,ND,North Dakota,202827,megawatthours
2019,NC,North Carolina,2007331,megawatthours
2019,MT,Montana,101248,megawatthours
2019,MS,Mississippi,1802863,megawatthours
2019,MO,Missouri,278013,megawatthours
2019,MN,Minnesota,1414542,megawatthours
2019,MI,Michigan,2340308,megawatthours
2019,ME,Maine,2172889,megawatthours
2019,MD,Maryland,1157180,megawatthours
2019,MA,Massachusetts,751598,megawatthours
2019,LA,Louisiana,21703921,megawatthours
2019,PA,Pennsylvania,4815514,megawatthours
2019,OR,Oregon,509113,megawatthours
2019,OK,Oklahoma,888870,megawatthours
2019,OH,Ohio,1151108,megawatthours
2019,NY,New York,1719945,megawatthours
2019,NV,Nevada,175107,megawatthours
2019,NM,New Mexico,152082,megawatthours
2019,NJ,New Jersey,1743747,megawatthours
2019,WY,Wyoming,1374786,megawatthours
2019,WV,West Virginia,774742,megawatthours
2019,WI,Wisconsin,1870723,megawatthours
2019,WA,Washington,889650,megawatthours
2019,VT,Vermont,5072,megawatthours
2019,VA,Virginia,2774097,megawatthours
2019,UT,Utah,687337,megawatthours
2019,US,United States,143270338,megawatthours
2019,TX,Texas,36870287,megawatthours
2019,TN,Tennessee,2876917,megawatthours
2019,SD,South Dakota,12452,megawatthours
2019,SC,South Carolina,2119968,megawatthours
2019,RI,Rhode Island,214080,megawatthours
2019,ID,Idaho,653384,megawatthours
2019,IA,Iowa,2384215,megawatthours
2019,HI,Hawaii,411519,megawatthours
2019,GA,Georgia,5162164,megawatthours
2019,FL,Florida,5082631,megawatthours
2019,DE,Delaware,701821,megawatthours
2019,DC,District of Columbia,193535,megawatthours
2019,CT,Connecticut,1000623,megawatthours
2019,CO,Colorado,86056,megawatthours
2019,CA,California,12951845,megawatthours
2019,AZ,Arizona,233619,megawatthours
2019,AR,Arkansas,1343547,megawatthours
2019,KY,Kentucky,317510,megawatthours
2019,KS,Kansas,117259,megawatthours
2019,IN,Indiana,7416064,megawatthours
2019,IL,Illinois,3700099,megawatthours
2019,AL,Alabama,5159502,megawatthours
2018,AK,Alaska,236992,megawatthours
2018,AL,Alabama,5037015,megawatthours
2018,NE,Nebraska,492206,megawatthours
2018,ND,North Dakota,182019,megawatthours
2018,NC,North Carolina,2112054,megawatthours
2018,MT,Montana,98302,megawatthours
2018,MS,Mississippi,1842491,megawatthours
2018,MO,Missouri,276831,megawatthours
2018,MN,Minnesota,1485718,megawatthours
2018,MI,Michigan,2528022,megawatthours
2018,ME,Maine,2032518,megawatthours
2018,MD,Maryland,1054698,megawatthours
2018,MA,Massachusetts,804930,megawatthours
2018,LA,Louisiana,19913457,megawatthours
2018,PA,Pennsylvania,5388503,megawatthours
2018,OR,Oregon,503543,megawatthours
2018,OK,Oklahoma,1290067,megawatthours
2018,OH,Ohio,1193347,megawatthours
2018,NY,New York,1881954,megawatthours
2018,NV,Nevada,161998,megawatthours
2018,NM,New Mexico,184972,megawatthours
2018,NJ,New Jersey,1503967,megawatthours
2018,WY,Wyoming,1592698,megawatthours
2018,WV,West Virginia,473128,megawatthours
2018,WI,Wisconsin,1937935,megawatthours
2018,WA,Washington,987941,megawatthours
2018,VT,Vermont,9682,megawatthours
2018,VA,Virginia,2789651,megawatthours
2018,UT,Utah,755713,megawatthours
2018,US,United States,143903731,megawatthours
2018,TX,Texas,38490458,megawatthours
2018,TN,Tennessee,2487343,megawatthours
2018,SD,South Dakota,40,megawatthours
2018,SC,South Carolina,2275751,megawatthours
2018,RI,Rhode Island,213519,megawatthours
2018,ID,Idaho,582881,megawatthours
2018,IA,Iowa,2370432,megawatthours
2018,HI,Hawaii,431799,megawatthours
2018,GA,Georgia,5278713,megawatthours
2018,FL,Florida,5133102,megawatthours
2018,DE,Delaware,721471,megawatthours
2018,DC,District of Columbia,106635,megawatthours
2018,CT,Connecticut,1007910,megawatthours
2018,CO,Colorado,75593,megawatthours
2018,CA,California,12859245,megawatthours
2018,AZ,Arizona,198593,megawatthours
2018,AR,Arkansas,1400990,megawatthours
2018,KY,Kentucky,368558,megawatthours
2018,KS,Kansas,105372,megawatthours
2018,IN,Indiana,6819691,megawatthours
2018,IL,Illinois,4109450,megawatthours
2018,NH,New Hampshire,113833,megawatthours
2017,AK,Alaska,232275,megawatthours
2017,AL,Alabama,4928261,megawatthours
2017,NE,Nebraska,448865,megawatthours
2017,ND,North Dakota,174685,megawatthours
